ds_name,instances,metric,mean_per_round,rounds,std_per_round
HashTable(100|chaining|djb2),1000,probes,1250.0,5,0.0
HashTable(100|chaining|djb2),2000,probes,2500.0,5,0.0
HashTable(100|chaining|djb2),3000,probes,3750.0,5,0.0
HashTable(100|chaining|djb2),4000,probes,5000.0,5,0.0
HashTable(100|chaining|djb2),5000,probes,6250.0,5,0.0
HashTable(100|chaining|djb2),6000,probes,7500.0,5,0.0
HashTable(100|chaining|djb2),7000,probes,8750.0,5,0.0
HashTable(100|chaining|djb2),8000,probes,10000.0,5,0.0
HashTable(100|chaining|djb2),9000,probes,11250.0,5,0.0
HashTable(100|chaining|djb2),10000,probes,12500.0,5,0.0
HashTable(100|chaining|fnv1a),1000,probes,1250.0,5,0.0
HashTable(100|chaining|fnv1a),2000,probes,2500.0,5,0.0
HashTable(100|chaining|fnv1a),3000,probes,3750.0,5,0.0
HashTable(100|chaining|fnv1a),4000,probes,5000.0,5,0.0
HashTable(100|chaining|fnv1a),5000,probes,6250.0,5,0.0
HashTable(100|chaining|fnv1a),6000,probes,7500.0,5,0.0
HashTable(100|chaining|fnv1a),7000,probes,8750.0,5,0.0
HashTable(100|chaining|fnv1a),8000,probes,10000.0,5,0.0
HashTable(100|chaining|fnv1a),9000,probes,11250.0,5,0.0
HashTable(100|chaining|fnv1a),10000,probes,12500.0,5,0.0
HashTable(100|chaining|poly31),1000,probes,1250.0,5,0.0
HashTable(100|chaining|poly31),2000,probes,2500.0,5,0.0
HashTable(100|chaining|poly31),3000,probes,3750.0,5,0.0
HashTable(100|chaining|poly31),4000,probes,5000.0,5,0.0
HashTable(100|chaining|poly31),5000,probes,6250.0,5,0.0
HashTable(100|chaining|poly31),6000,probes,7500.0,5,0.0
HashTable(100|chaining|poly31),7000,probes,8750.0,5,0.0
HashTable(100|chaining|poly31),8000,probes,10000.0,5,0.0
HashTable(100|chaining|poly31),9000,probes,11250.0,5,0.0
HashTable(100|chaining|poly31),10000,probes,12500.0,5,0.0
HashTable(150|chaining|djb2),1000,probes,1250.0,5,0.0
HashTable(150|chaining|djb2),2000,probes,2500.0,5,0.0
HashTable(150|chaining|djb2),3000,probes,3750.0,5,0.0
HashTable(150|chaining|djb2),4000,probes,5000.0,5,0.0
HashTable(150|chaining|djb2),5000,probes,6250.0,5,0.0
HashTable(150|chaining|djb2),6000,probes,7500.0,5,0.0
HashTable(150|chaining|djb2),7000,probes,8750.0,5,0.0
HashTable(150|chaining|djb2),8000,probes,10000.0,5,0.0
HashTable(150|chaining|djb2),9000,probes,11250.0,5,0.0
HashTable(150|chaining|djb2),10000,probes,12500.0,5,0.0
HashTable(150|chaining|fnv1a),1000,probes,1250.0,5,0.0
HashTable(150|chaining|fnv1a),2000,probes,2500.0,5,0.0
HashTable(150|chaining|fnv1a),3000,probes,3750.0,5,0.0
HashTable(150|chaining|fnv1a),4000,probes,5000.0,5,0.0
HashTable(150|chaining|fnv1a),5000,probes,6250.0,5,0.0
HashTable(150|chaining|fnv1a),6000,probes,7500.0,5,0.0
HashTable(150|chaining|fnv1a),7000,probes,8750.0,5,0.0
HashTable(150|chaining|fnv1a),8000,probes,10000.0,5,0.0
HashTable(150|chaining|fnv1a),9000,probes,11250.0,5,0.0
HashTable(150|chaining|fnv1a),10000,probes,12500.0,5,0.0
HashTable(150|chaining|poly31),1000,probes,1250.0,5,0.0
HashTable(150|chaining|poly31),2000,probes,2500.0,5,0.0
HashTable(150|chaining|poly31),3000,probes,3750.0,5,0.0
HashTable(150|chaining|poly31),4000,probes,5000.0,5,0.0
HashTable(150|chaining|poly31),5000,probes,6250.0,5,0.0
HashTable(150|chaining|poly31),6000,probes,7500.0,5,0.0
HashTable(150|chaining|poly31),7000,probes,8750.0,5,0.0
HashTable(150|chaining|poly31),8000,probes,10000.0,5,0.0
HashTable(150|chaining|poly31),9000,probes,11250.0,5,0.0
HashTable(150|chaining|poly31),10000,probes,12500.0,5,0.0
HashTable(50|chaining|djb2),1000,probes,1250.0,5,0.0
HashTable(50|chaining|djb2),2000,probes,2500.0,5,0.0
HashTable(50|chaining|djb2),3000,probes,3750.0,5,0.0
HashTable(50|chaining|djb2),4000,probes,5000.0,5,0.0
HashTable(50|chaining|djb2),5000,probes,6250.0,5,0.0
HashTable(50|chaining|djb2),6000,probes,7500.0,5,0.0
HashTable(50|chaining|djb2),7000,probes,8750.0,5,0.0
HashTable(50|chaining|djb2),8000,probes,10000.0,5,0.0
HashTable(50|chaining|djb2),9000,probes,11250.0,5,0.0
HashTable(50|chaining|djb2),10000,probes,12500.0,5,0.0
HashTable(50|chaining|fnv1a),1000,probes,1250.0,5,0.0
HashTable(50|chaining|fnv1a),2000,probes,2500.0,5,0.0
HashTable(50|chaining|fnv1a),3000,probes,3750.0,5,0.0
HashTable(50|chaining|fnv1a),4000,probes,5000.0,5,0.0
HashTable(50|chaining|fnv1a),5000,probes,6250.0,5,0.0
HashTable(50|chaining|fnv1a),6000,probes,7500.0,5,0.0
HashTable(50|chaining|fnv1a),7000,probes,8750.0,5,0.0
HashTable(50|chaining|fnv1a),8000,probes,10000.0,5,0.0
HashTable(50|chaining|fnv1a),9000,probes,11250.0,5,0.0
HashTable(50|chaining|fnv1a),10000,probes,12500.0,5,0.0
HashTable(50|chaining|poly31),1000,probes,1250.0,5,0.0
HashTable(50|chaining|poly31),2000,probes,2500.0,5,0.0
HashTable(50|chaining|poly31),3000,probes,3750.0,5,0.0
HashTable(50|chaining|poly31),4000,probes,5000.0,5,0.0
HashTable(50|chaining|poly31),5000,probes,6250.0,5,0.0
HashTable(50|chaining|poly31),6000,probes,7500.0,5,0.0
HashTable(50|chaining|poly31),7000,probes,8750.0,5,0.0
HashTable(50|chaining|poly31),8000,probes,10000.0,5,0.0
HashTable(50|chaining|poly31),9000,probes,11250.0,5,0.0
HashTable(50|chaining|poly31),10000,probes,12500.0,5,0.0
