ds_name,instances,metric,mean_per_round,rounds,std_per_round,values
AVLTree,1000,comparisons,8831.0,5,0.0,"[8831.0, 8831.0, 8831.0, 8831.0, 8831.0]"
AVLTree,2000,comparisons,19687.0,5,0.0,"[19687.0, 19687.0, 19687.0, 19687.0, 19687.0]"
AVLTree,3000,comparisons,31220.0,5,0.0,"[31220.0, 31220.0, 31220.0, 31220.0, 31220.0]"
AVLTree,4000,comparisons,43308.0,5,0.0,"[43308.0, 43308.0, 43308.0, 43308.0, 43308.0]"
AVLTree,5000,comparisons,55600.0,5,0.0,"[55600.0, 55600.0, 55600.0, 55600.0, 55600.0]"
AVLTree,6000,comparisons,68483.0,5,0.0,"[68483.0, 68483.0, 68483.0, 68483.0, 68483.0]"
AVLTree,7000,comparisons,81490.0,5,0.0,"[81490.0, 81490.0, 81490.0, 81490.0, 81490.0]"
AVLTree,8000,comparisons,94452.0,5,0.0,"[94452.0, 94452.0, 94452.0, 94452.0, 94452.0]"
AVLTree,9000,comparisons,107741.0,5,0.0,"[107741.0, 107741.0, 107741.0, 107741.0, 107741.0]"
AVLTree,10000,comparisons,121482.0,5,0.0,"[121482.0, 121482.0, 121482.0, 121482.0, 121482.0]"
"ArrayLinkedList(def=-1, sorted)",1000,comparisons,752931.0,5,0.0,"[752931.0, 752931.0, 752931.0, 752931.0, 752931.0]"
"ArrayLinkedList(def=-1, sorted)",2000,comparisons,3005375.0,5,0.0,"[3005375.0, 3005375.0, 3005375.0, 3005375.0, 3005375.0]"
"ArrayLinkedList(def=-1, sorted)",3000,comparisons,6761719.0,5,0.0,"[6761719.0, 6761719.0, 6761719.0, 6761719.0, 6761719.0]"
"ArrayLinkedList(def=-1, sorted)",4000,comparisons,12010885.0,5,0.0,"[12010885.0, 12010885.0, 12010885.0, 12010885.0, 12010885.0]"
"ArrayLinkedList(def=-1, sorted)",5000,comparisons,18765221.0,5,0.0,"[18765221.0, 18765221.0, 18765221.0, 18765221.0, 18765221.0]"
"ArrayLinkedList(def=-1, sorted)",6000,comparisons,27023865.0,5,0.0,"[27023865.0, 27023865.0, 27023865.0, 27023865.0, 27023865.0]"
"ArrayLinkedList(def=-1, sorted)",7000,comparisons,36768131.0,5,0.0,"[36768131.0, 36768131.0, 36768131.0, 36768131.0, 36768131.0]"
"ArrayLinkedList(def=-1, sorted)",8000,comparisons,48020775.0,5,0.0,"[48020775.0, 48020775.0, 48020775.0, 48020775.0, 48020775.0]"
"ArrayLinkedList(def=-1, sorted)",9000,comparisons,60787611.0,5,0.0,"[60787611.0, 60787611.0, 60787611.0, 60787611.0, 60787611.0]"
"ArrayLinkedList(def=-1, sorted)",10000,comparisons,75032577.0,5,0.0,"[75032577.0, 75032577.0, 75032577.0, 75032577.0, 75032577.0]"
"ArrayLinkedList(def=-1, unsorted)",1000,comparisons,499500.0,5,0.0,"[499500.0, 499500.0, 499500.0, 499500.0, 499500.0]"
"ArrayLinkedList(def=-1, unsorted)",2000,comparisons,1999000.0,5,0.0,"[1999000.0, 1999000.0, 1999000.0, 1999000.0, 1999000.0]"
"ArrayLinkedList(def=-1, unsorted)",3000,comparisons,4498500.0,5,0.0,"[4498500.0, 4498500.0, 4498500.0, 4498500.0, 4498500.0]"
"ArrayLinkedList(def=-1, unsorted)",4000,comparisons,7998000.0,5,0.0,"[7998000.0, 7998000.0, 7998000.0, 7998000.0, 7998000.0]"
"ArrayLinkedList(def=-1, unsorted)",5000,comparisons,12497500.0,5,0.0,"[12497500.0, 12497500.0, 12497500.0, 12497500.0, 12497500.0]"
"ArrayLinkedList(def=-1, unsorted)",6000,comparisons,17997000.0,5,0.0,"[17997000.0, 17997000.0, 17997000.0, 17997000.0, 17997000.0]"
"ArrayLinkedList(def=-1, unsorted)",7000,comparisons,24496500.0,5,0.0,"[24496500.0, 24496500.0, 24496500.0, 24496500.0, 24496500.0]"
"ArrayLinkedList(def=-1, unsorted)",8000,comparisons,31996000.0,5,0.0,"[31996000.0, 31996000.0, 31996000.0, 31996000.0, 31996000.0]"
"ArrayLinkedList(def=-1, unsorted)",9000,comparisons,40495500.0,5,0.0,"[40495500.0, 40495500.0, 40495500.0, 40495500.0, 40495500.0]"
"ArrayLinkedList(def=-1, unsorted)",10000,comparisons,49995000.0,5,0.0,"[49995000.0, 49995000.0, 49995000.0, 49995000.0, 49995000.0]"
HashTable(100|chaining|djb2),1000,comparisons,4716.0,5,0.0,"[4716.0, 4716.0, 4716.0, 4716.0, 4716.0]"
HashTable(100|chaining|djb2),2000,comparisons,19418.0,5,0.0,"[19418.0, 19418.0, 19418.0, 19418.0, 19418.0]"
HashTable(100|chaining|djb2),3000,comparisons,43980.0,5,0.0,"[43980.0, 43980.0, 43980.0, 43980.0, 43980.0]"
HashTable(100|chaining|djb2),4000,comparisons,78688.0,5,0.0,"[78688.0, 78688.0, 78688.0, 78688.0, 78688.0]"
HashTable(100|chaining|djb2),5000,comparisons,123208.0,5,0.0,"[123208.0, 123208.0, 123208.0, 123208.0, 123208.0]"
HashTable(100|chaining|djb2),6000,comparisons,177531.0,5,0.0,"[177531.0, 177531.0, 177531.0, 177531.0, 177531.0]"
HashTable(100|chaining|djb2),7000,comparisons,241996.0,5,0.0,"[241996.0, 241996.0, 241996.0, 241996.0, 241996.0]"
HashTable(100|chaining|djb2),8000,comparisons,316324.0,5,0.0,"[316324.0, 316324.0, 316324.0, 316324.0, 316324.0]"
HashTable(100|chaining|djb2),9000,comparisons,400624.0,5,0.0,"[400624.0, 400624.0, 400624.0, 400624.0, 400624.0]"
HashTable(100|chaining|djb2),10000,comparisons,495336.0,5,0.0,"[495336.0, 495336.0, 495336.0, 495336.0, 495336.0]"
HashTable(100|chaining|fnv1a),1000,comparisons,4824.0,5,0.0,"[4824.0, 4824.0, 4824.0, 4824.0, 4824.0]"
HashTable(100|chaining|fnv1a),2000,comparisons,19522.0,5,0.0,"[19522.0, 19522.0, 19522.0, 19522.0, 19522.0]"
HashTable(100|chaining|fnv1a),3000,comparisons,44198.0,5,0.0,"[44198.0, 44198.0, 44198.0, 44198.0, 44198.0]"
HashTable(100|chaining|fnv1a),4000,comparisons,78912.0,5,0.0,"[78912.0, 78912.0, 78912.0, 78912.0, 78912.0]"
HashTable(100|chaining|fnv1a),5000,comparisons,123898.0,5,0.0,"[123898.0, 123898.0, 123898.0, 123898.0, 123898.0]"
HashTable(100|chaining|fnv1a),6000,comparisons,179162.0,5,0.0,"[179162.0, 179162.0, 179162.0, 179162.0, 179162.0]"
HashTable(100|chaining|fnv1a),7000,comparisons,244756.0,5,0.0,"[244756.0, 244756.0, 244756.0, 244756.0, 244756.0]"
HashTable(100|chaining|fnv1a),8000,comparisons,318884.0,5,0.0,"[318884.0, 318884.0, 318884.0, 318884.0, 318884.0]"
HashTable(100|chaining|fnv1a),9000,comparisons,403818.0,5,0.0,"[403818.0, 403818.0, 403818.0, 403818.0, 403818.0]"
HashTable(100|chaining|fnv1a),10000,comparisons,499534.0,5,0.0,"[499534.0, 499534.0, 499534.0, 499534.0, 499534.0]"
HashTable(100|chaining|poly31),1000,comparisons,4604.0,5,0.0,"[4604.0, 4604.0, 4604.0, 4604.0, 4604.0]"
HashTable(100|chaining|poly31),2000,comparisons,19204.0,5,0.0,"[19204.0, 19204.0, 19204.0, 19204.0, 19204.0]"
HashTable(100|chaining|poly31),3000,comparisons,43744.0,5,0.0,"[43744.0, 43744.0, 43744.0, 43744.0, 43744.0]"
HashTable(100|chaining|poly31),4000,comparisons,78205.0,5,0.0,"[78205.0, 78205.0, 78205.0, 78205.0, 78205.0]"
HashTable(100|chaining|poly31),5000,comparisons,122692.0,5,0.0,"[122692.0, 122692.0, 122692.0, 122692.0, 122692.0]"
HashTable(100|chaining|poly31),6000,comparisons,177197.0,5,0.0,"[177197.0, 177197.0, 177197.0, 177197.0, 177197.0]"
HashTable(100|chaining|poly31),7000,comparisons,241650.0,5,0.0,"[241650.0, 241650.0, 241650.0, 241650.0, 241650.0]"
HashTable(100|chaining|poly31),8000,comparisons,316096.0,5,0.0,"[316096.0, 316096.0, 316096.0, 316096.0, 316096.0]"
HashTable(100|chaining|poly31),9000,comparisons,400604.0,5,0.0,"[400604.0, 400604.0, 400604.0, 400604.0, 400604.0]"
HashTable(100|chaining|poly31),10000,comparisons,495260.0,5,0.0,"[495260.0, 495260.0, 495260.0, 495260.0, 495260.0]"
HashTable(150|chaining|djb2),1000,comparisons,3094.0,5,0.0,"[3094.0, 3094.0, 3094.0, 3094.0, 3094.0]"
HashTable(150|chaining|djb2),2000,comparisons,12828.0,5,0.0,"[12828.0, 12828.0, 12828.0, 12828.0, 12828.0]"
HashTable(150|chaining|djb2),3000,comparisons,29154.0,5,0.0,"[29154.0, 29154.0, 29154.0, 29154.0, 29154.0]"
HashTable(150|chaining|djb2),4000,comparisons,52596.0,5,0.0,"[52596.0, 52596.0, 52596.0, 52596.0, 52596.0]"
HashTable(150|chaining|djb2),5000,comparisons,82718.0,5,0.0,"[82718.0, 82718.0, 82718.0, 82718.0, 82718.0]"
HashTable(150|chaining|djb2),6000,comparisons,119492.0,5,0.0,"[119492.0, 119492.0, 119492.0, 119492.0, 119492.0]"
HashTable(150|chaining|djb2),7000,comparisons,163362.0,5,0.0,"[163362.0, 163362.0, 163362.0, 163362.0, 163362.0]"
HashTable(150|chaining|djb2),8000,comparisons,213874.0,5,0.0,"[213874.0, 213874.0, 213874.0, 213874.0, 213874.0]"
HashTable(150|chaining|djb2),9000,comparisons,271012.0,5,0.0,"[271012.0, 271012.0, 271012.0, 271012.0, 271012.0]"
HashTable(150|chaining|djb2),10000,comparisons,335269.0,5,0.0,"[335269.0, 335269.0, 335269.0, 335269.0, 335269.0]"
