ds_name,instances,metric,mean_per_round,rounds,std_per_round
AVLTree,1000,comparisons,12144.6,5,12.973048986263793
AVLTree,2000,comparisons,27017.2,5,55.98839165398485
AVLTree,3000,comparisons,42823.2,5,22.07260745811423
AVLTree,4000,comparisons,59340.4,5,56.73006257708518
AVLTree,5000,comparisons,76141.4,5,67.89550795155745
AVLTree,6000,comparisons,93739.0,5,84.87638069569178
AVLTree,7000,comparisons,111567.6,5,30.899838187278586
AVLTree,8000,comparisons,129287.0,5,52.98584716695582
AVLTree,9000,comparisons,147415.0,5,29.16333314283537
AVLTree,10000,comparisons,166138.6,5,38.64324002979046
"ArrayLinkedList(def=-1, sorted)",1000,comparisons,925185.2,5,1753.9671319611437
"ArrayLinkedList(def=-1, sorted)",2000,comparisons,3696479.4,5,14449.664643167329
"ArrayLinkedList(def=-1, sorted)",3000,comparisons,8311896.6,5,33084.268562263846
"ArrayLinkedList(def=-1, sorted)",4000,comparisons,14744674.0,5,31651.291545527805
"ArrayLinkedList(def=-1, sorted)",5000,comparisons,23087231.8,5,64773.537341263065
"ArrayLinkedList(def=-1, sorted)",6000,comparisons,33236161.8,5,60583.479288499104
"ArrayLinkedList(def=-1, sorted)",7000,comparisons,45123518.0,5,33628.54318135117
"ArrayLinkedList(def=-1, sorted)",8000,comparisons,59026460.4,5,86857.18253431896
"ArrayLinkedList(def=-1, sorted)",9000,comparisons,74693760.6,5,60049.756180187775
"ArrayLinkedList(def=-1, sorted)",10000,comparisons,92195353.8,5,218523.02563848963
"ArrayLinkedList(def=-1, unsorted)",1000,comparisons,673270.2,5,5827.239844042804
"ArrayLinkedList(def=-1, unsorted)",2000,comparisons,2696196.8,5,9007.491087977829
"ArrayLinkedList(def=-1, unsorted)",3000,comparisons,6052072.0,5,18488.882429719757
"ArrayLinkedList(def=-1, unsorted)",4000,comparisons,10782270.8,5,43560.0115208892
"ArrayLinkedList(def=-1, unsorted)",5000,comparisons,16819240.2,5,31800.07477506932
"ArrayLinkedList(def=-1, unsorted)",6000,comparisons,24196466.6,5,51089.89952329129
"ArrayLinkedList(def=-1, unsorted)",7000,comparisons,32967685.6,5,82526.17396802061
"ArrayLinkedList(def=-1, unsorted)",8000,comparisons,43053771.2,5,89853.32241325303
"ArrayLinkedList(def=-1, unsorted)",9000,comparisons,54431130.8,5,84702.5045892977
"ArrayLinkedList(def=-1, unsorted)",10000,comparisons,67227928.8,5,209444.92306260375
HashTable(100|chaining|djb2),1000,comparisons,6717.2,5,33.61101010085832
HashTable(100|chaining|djb2),2000,comparisons,26892.4,5,172.7260837279651
HashTable(100|chaining|djb2),3000,comparisons,60181.2,5,160.50295947427261
HashTable(100|chaining|djb2),4000,comparisons,106953.0,5,254.19284018240955
HashTable(100|chaining|djb2),5000,comparisons,167399.6,5,622.0135046765464
HashTable(100|chaining|djb2),6000,comparisons,240479.8,5,714.4401304518104
HashTable(100|chaining|djb2),7000,comparisons,327712.4,5,830.8786313295102
HashTable(100|chaining|djb2),8000,comparisons,427734.0,5,1584.5669755488407
HashTable(100|chaining|djb2),9000,comparisons,542510.2,5,2015.2104604730496
HashTable(100|chaining|djb2),10000,comparisons,669041.2,5,1386.5919370889187
HashTable(100|chaining|fnv1a),1000,comparisons,6836.8,5,42.77499269433018
HashTable(100|chaining|fnv1a),2000,comparisons,26935.2,5,110.40697441738
HashTable(100|chaining|fnv1a),3000,comparisons,60436.6,5,354.47750281223773
HashTable(100|chaining|fnv1a),4000,comparisons,107600.4,5,404.1525702009082
HashTable(100|chaining|fnv1a),5000,comparisons,168524.8,5,543.3467585253454
HashTable(100|chaining|fnv1a),6000,comparisons,243750.0,5,361.8024322748536
HashTable(100|chaining|fnv1a),7000,comparisons,332150.8,5,638.5371563190353
HashTable(100|chaining|fnv1a),8000,comparisons,431353.8,5,693.6668508729533
HashTable(100|chaining|fnv1a),9000,comparisons,545869.4,5,1334.6791000086876
HashTable(100|chaining|fnv1a),10000,comparisons,675443.0,5,1321.2393802789863
HashTable(100|chaining|poly31),1000,comparisons,6552.8,5,42.32847741178508
HashTable(100|chaining|poly31),2000,comparisons,26544.6,5,154.04804445367037
HashTable(100|chaining|poly31),3000,comparisons,59755.2,5,259.04960914851813
HashTable(100|chaining|poly31),4000,comparisons,106526.2,5,362.58474871400756
HashTable(100|chaining|poly31),5000,comparisons,166292.6,5,464.46183912136416
HashTable(100|chaining|poly31),6000,comparisons,240203.4,5,711.2111500813243
HashTable(100|chaining|poly31),7000,comparisons,327429.2,5,897.7169375699671
HashTable(100|chaining|poly31),8000,comparisons,428562.8,5,1717.2340259848104
HashTable(100|chaining|poly31),9000,comparisons,541430.2,5,1898.602433370399
HashTable(100|chaining|poly31),10000,comparisons,670262.4,5,858.86483220586
HashTable(150|chaining|djb2),1000,comparisons,4521.2,5,41.535526961867234
HashTable(150|chaining|djb2),2000,comparisons,17999.2,5,142.84852116840412
HashTable(150|chaining|djb2),3000,comparisons,40366.0,5,133.25726997053482
HashTable(150|chaining|djb2),4000,comparisons,71971.6,5,350.88644886914625
HashTable(150|chaining|djb2),5000,comparisons,113205.0,5,229.241139414373
HashTable(150|chaining|djb2),6000,comparisons,162565.0,5,600.9792009712149
HashTable(150|chaining|djb2),7000,comparisons,222244.0,5,407.480674388369
HashTable(150|chaining|djb2),8000,comparisons,290678.2,5,428.8883304544436
HashTable(150|chaining|djb2),9000,comparisons,367328.8,5,1311.7426195713851
HashTable(150|chaining|djb2),10000,comparisons,454385.4,5,1234.613623770611
HashTable(150|chaining|fnv1a),1000,comparisons,5275.6,5,15.852444606432156
HashTable(150|chaining|fnv1a),2000,comparisons,18914.6,5,85.86209873978156
HashTable(150|chaining|fnv1a),3000,comparisons,40530.4,5,260.2398893328999
HashTable(150|chaining|fnv1a),4000,comparisons,72632.2,5,199.84418930757033
HashTable(150|chaining|fnv1a),5000,comparisons,113505.4,5,206.11598676473398
HashTable(150|chaining|fnv1a),6000,comparisons,163979.4,5,517.3565501663239
HashTable(150|chaining|fnv1a),7000,comparisons,221615.6,5,345.7749267948733
HashTable(150|chaining|fnv1a),8000,comparisons,287618.6,5,952.133026420153
HashTable(150|chaining|fnv1a),9000,comparisons,364604.0,5,1043.20036426374
HashTable(150|chaining|fnv1a),10000,comparisons,453076.0,5,1376.505902638997
HashTable(150|chaining|poly31),1000,comparisons,7142.4,5,114.52641616675167
HashTable(150|chaining|poly31),2000,comparisons,28888.4,5,181.2396203924517
HashTable(150|chaining|poly31),3000,comparisons,65012.4,5,284.0471791797975
HashTable(150|chaining|poly31),4000,comparisons,115187.6,5,367.27210621009596
HashTable(150|chaining|poly31),5000,comparisons,177574.6,5,969.6740689530684
HashTable(150|chaining|poly31),6000,comparisons,252307.2,5,362.4944137500604
HashTable(150|chaining|poly31),7000,comparisons,337127.8,5,792.4599043484786
HashTable(150|chaining|poly31),8000,comparisons,432102.6,5,1307.7026802756045
HashTable(150|chaining|poly31),9000,comparisons,536196.2,5,889.3175473361582
HashTable(150|chaining|poly31),10000,comparisons,645693.2,5,1301.8136195323816
HashTable(50|chaining|djb2),1000,comparisons,13244.8,5,79.83545578250306
HashTable(50|chaining|djb2),2000,comparisons,53499.0,5,368.56342737716125
HashTable(50|chaining|djb2),3000,comparisons,120177.2,5,366.0125680902228
HashTable(50|chaining|djb2),4000,comparisons,213895.4,5,1034.5430392206986
HashTable(50|chaining|djb2),5000,comparisons,334856.6,5,971.9150168610422
HashTable(50|chaining|djb2),6000,comparisons,482320.8,5,2581.619491714455
HashTable(50|chaining|djb2),7000,comparisons,656324.2,5,642.2201335990644
HashTable(50|chaining|djb2),8000,comparisons,857840.8,5,2422.914711664445
HashTable(50|chaining|djb2),9000,comparisons,1086606.8,5,2652.7256171718927
HashTable(50|chaining|djb2),10000,comparisons,1341338.8,5,2783.4665796448858
HashTable(50|chaining|fnv1a),1000,comparisons,13648.4,5,135.2102067153216
HashTable(50|chaining|fnv1a),2000,comparisons,53836.0,5,214.4691119951775
