ds_name,instances,metric,mean_per_round,rounds,std_per_round,values
AVLTree,1000,comparisons,12144.6,5,12.97305,"[12150.0, 12138.0, 12155.0, 12125.0, 12155.0]"
AVLTree,2000,comparisons,27017.2,5,55.98839,"[27024.0, 27039.0, 27019.0, 27078.0, 26926.0]"
AVLTree,3000,comparisons,42823.2,5,22.07261,"[42790.0, 42813.0, 42843.0, 42829.0, 42841.0]"
AVLTree,4000,comparisons,59340.4,5,56.73006,"[59287.0, 59411.0, 59308.0, 59304.0, 59392.0]"
AVLTree,5000,comparisons,76141.4,5,67.89551,"[76236.0, 76188.0, 76088.0, 76115.0, 76080.0]"
AVLTree,6000,comparisons,93739.0,5,84.87638,"[93653.0, 93640.0, 93798.0, 93792.0, 93812.0]"
AVLTree,7000,comparisons,111567.6,5,30.89984,"[111546.0, 111534.0, 111576.0, 111614.0, 111568.0]"
AVLTree,8000,comparisons,129287.0,5,52.98585,"[129252.0, 129375.0, 129253.0, 129299.0, 129256.0]"
AVLTree,9000,comparisons,147415.0,5,29.16333,"[147410.0, 147409.0, 147415.0, 147380.0, 147461.0]"
AVLTree,10000,comparisons,166138.6,5,38.64324,"[166111.0, 166186.0, 166116.0, 166175.0, 166105.0]"
"ArrayLinkedList(def=-1, sorted)",1000,comparisons,925185.2,5,1753.96713,"[925496.0, 924249.0, 923616.0, 924485.0, 928080.0]"
"ArrayLinkedList(def=-1, sorted)",2000,comparisons,3696479.4,5,14449.66464,"[3672926.0, 3700193.0, 3700021.0, 3712415.0, 3696842.0]"
"ArrayLinkedList(def=-1, sorted)",3000,comparisons,8311896.6,5,33084.26856,"[8341736.0, 8335669.0, 8322208.0, 8260271.0, 8299599.0]"
"ArrayLinkedList(def=-1, sorted)",4000,comparisons,14744674.0,5,31651.29155,"[14741486.0, 14704557.0, 14786299.0, 14727436.0, 14763592.0]"
"ArrayLinkedList(def=-1, sorted)",5000,comparisons,23087231.8,5,64773.53734,"[23162161.0, 23129164.0, 23042317.0, 23100270.0, 23002247.0]"
"ArrayLinkedList(def=-1, sorted)",6000,comparisons,33236161.8,5,60583.47929,"[33283914.0, 33135245.0, 33240521.0, 33283003.0, 33238126.0]"
"ArrayLinkedList(def=-1, sorted)",7000,comparisons,45123518.0,5,33628.54318,"[45112678.0, 45157218.0, 45096659.0, 45089874.0, 45161161.0]"
"ArrayLinkedList(def=-1, sorted)",8000,comparisons,59026460.4,5,86857.18253,"[58958111.0, 58962439.0, 59011113.0, 59028694.0, 59171945.0]"
"ArrayLinkedList(def=-1, sorted)",9000,comparisons,74693760.6,5,60049.75618,"[74674287.0, 74620312.0, 74785489.0, 74683514.0, 74705201.0]"
"ArrayLinkedList(def=-1, sorted)",10000,comparisons,92195353.8,5,218523.02564,"[92341878.0, 92189736.0, 92324318.0, 91819108.0, 92301729.0]"
"ArrayLinkedList(def=-1, unsorted)",1000,comparisons,673270.2,5,5827.23984,"[668890.0, 681688.0, 671596.0, 667606.0, 676571.0]"
"ArrayLinkedList(def=-1, unsorted)",2000,comparisons,2696196.8,5,9007.49109,"[2706209.0, 2682411.0, 2701738.0, 2694318.0, 2696308.0]"
"ArrayLinkedList(def=-1, unsorted)",3000,comparisons,6052072.0,5,18488.88243,"[6067170.0, 6065047.0, 6036795.0, 6063782.0, 6027566.0]"
"ArrayLinkedList(def=-1, unsorted)",4000,comparisons,10782270.8,5,43560.01152,"[10755576.0, 10841899.0, 10808005.0, 10774600.0, 10731274.0]"
"ArrayLinkedList(def=-1, unsorted)",5000,comparisons,16819240.2,5,31800.07478,"[16787555.0, 16816228.0, 16788963.0, 16853210.0, 16850245.0]"
"ArrayLinkedList(def=-1, unsorted)",6000,comparisons,24196466.6,5,51089.89952,"[24129925.0, 24164441.0, 24204348.0, 24221645.0, 24261974.0]"
"ArrayLinkedList(def=-1, unsorted)",7000,comparisons,32967685.6,5,82526.17397,"[32903679.0, 33020553.0, 32884009.0, 33081628.0, 32948559.0]"
"ArrayLinkedList(def=-1, unsorted)",8000,comparisons,43053771.2,5,89853.32241,"[43054635.0, 43066336.0, 42941251.0, 43017978.0, 43188656.0]"
"ArrayLinkedList(def=-1, unsorted)",9000,comparisons,54431130.8,5,84702.50459,"[54539514.0, 54393828.0, 54326269.0, 54492704.0, 54403339.0]"
"ArrayLinkedList(def=-1, unsorted)",10000,comparisons,67227928.8,5,209444.92306,"[67097875.0, 67459544.0, 67061978.0, 67454155.0, 67066092.0]"
HashTable(100|chaining|djb2),1000,comparisons,6717.2,5,33.61101,"[6710.0, 6714.0, 6707.0, 6682.0, 6773.0]"
HashTable(100|chaining|djb2),2000,comparisons,26892.4,5,172.72608,"[26897.0, 27000.0, 26880.0, 27069.0, 26616.0]"
HashTable(100|chaining|djb2),3000,comparisons,60181.2,5,160.50296,"[60034.0, 60152.0, 60446.0, 60194.0, 60080.0]"
HashTable(100|chaining|djb2),4000,comparisons,106953.0,5,254.19284,"[107310.0, 106868.0, 106946.0, 107031.0, 106610.0]"
HashTable(100|chaining|djb2),5000,comparisons,167399.6,5,622.0135,"[167383.0, 166397.0, 167473.0, 168084.0, 167661.0]"
HashTable(100|chaining|djb2),6000,comparisons,240479.8,5,714.44013,"[241179.0, 239708.0, 241275.0, 239940.0, 240297.0]"
HashTable(100|chaining|djb2),7000,comparisons,327712.4,5,830.87863,"[327508.0, 327554.0, 328499.0, 328497.0, 326504.0]"
HashTable(100|chaining|djb2),8000,comparisons,427734.0,5,1584.56698,"[428211.0, 429653.0, 427352.0, 428134.0, 425320.0]"
