ds_name,instances,metric,mean_per_round,rounds,std_per_round
AVLTree,1000,comparisons,2299.8,5,14.481022063376603
AVLTree,2000,comparisons,5111.2,5,46.13783696707075
AVLTree,3000,comparisons,8090.8,5,23.784448700779254
AVLTree,4000,comparisons,11187.0,5,54.419665563103194
AVLTree,5000,comparisons,14351.4,5,62.75985978314483
AVLTree,6000,comparisons,17650.6,5,79.22310269107112
AVLTree,7000,comparisons,21021.6,5,32.80701144572605
AVLTree,8000,comparisons,24352.6,5,54.02129209857906
AVLTree,9000,comparisons,27733.0,5,40.391830857241416
AVLTree,10000,comparisons,31225.0,5,34.785054261852174
"ArrayLinkedList(def=-1, sorted)",1000,comparisons,124023.2,5,2121.345257142269
"ArrayLinkedList(def=-1, sorted)",2000,comparisons,496782.2,5,12928.633732920118
"ArrayLinkedList(def=-1, sorted)",3000,comparisons,1136594.2,5,22045.318192305593
"ArrayLinkedList(def=-1, sorted)",4000,comparisons,1976697.8,5,38546.19700696815
"ArrayLinkedList(def=-1, sorted)",5000,comparisons,3147565.4,5,41237.53926096949
"ArrayLinkedList(def=-1, sorted)",6000,comparisons,4506121.2,5,58806.46527126078
"ArrayLinkedList(def=-1, sorted)",7000,comparisons,6060197.8,5,50273.92908058808
"ArrayLinkedList(def=-1, sorted)",8000,comparisons,7971803.8,5,92284.69312513316
"ArrayLinkedList(def=-1, sorted)",9000,comparisons,10063837.0,5,74287.54404339936
"ArrayLinkedList(def=-1, sorted)",10000,comparisons,12430180.2,5,216705.73581749052
"ArrayLinkedList(def=-1, unsorted)",1000,comparisons,126497.0,5,4681.896998012665
"ArrayLinkedList(def=-1, unsorted)",2000,comparisons,507986.6,5,6074.365547116834
"ArrayLinkedList(def=-1, unsorted)",3000,comparisons,1123318.8,5,14884.552603286402
"ArrayLinkedList(def=-1, unsorted)",4000,comparisons,2027514.6,5,37137.969449069235
"ArrayLinkedList(def=-1, unsorted)",5000,comparisons,3144243.4,5,40592.33154550253
"ArrayLinkedList(def=-1, unsorted)",6000,comparisons,4512672.8,5,42107.4102884516
"ArrayLinkedList(def=-1, unsorted)",7000,comparisons,6133327.8,5,102238.02857890014
"ArrayLinkedList(def=-1, unsorted)",8000,comparisons,8021483.0,5,51910.69279059951
"ArrayLinkedList(def=-1, unsorted)",9000,comparisons,10070482.4,5,64225.54391984548
"ArrayLinkedList(def=-1, unsorted)",10000,comparisons,12517986.6,5,117188.08113583906
HashTable(100|chaining|djb2),1000,comparisons,1442.6,5,44.6687810444834
HashTable(100|chaining|djb2),2000,comparisons,5419.2,5,149.424562907174
HashTable(100|chaining|djb2),3000,comparisons,11741.0,5,101.5160085897786
HashTable(100|chaining|djb2),4000,comparisons,20480.4,5,260.76675401592126
HashTable(100|chaining|djb2),5000,comparisons,31758.8,5,499.21358154601523
HashTable(100|chaining|djb2),6000,comparisons,45644.4,5,729.9889040252598
HashTable(100|chaining|djb2),7000,comparisons,61948.8,5,239.25655685895003
HashTable(100|chaining|djb2),8000,comparisons,80610.8,5,1260.166139840299
HashTable(100|chaining|djb2),9000,comparisons,102491.8,5,996.4826641743448
HashTable(100|chaining|djb2),10000,comparisons,125470.6,5,1104.0313854234398
HashTable(100|chaining|fnv1a),1000,comparisons,1455.0,5,24.748737341529164
HashTable(100|chaining|fnv1a),2000,comparisons,5392.4,5,24.296090220444935
HashTable(100|chaining|fnv1a),3000,comparisons,11780.2,5,278.1469036318758
HashTable(100|chaining|fnv1a),4000,comparisons,20677.0,5,261.7078523850593
HashTable(100|chaining|fnv1a),5000,comparisons,32423.8,5,226.8098322383754
HashTable(100|chaining|fnv1a),6000,comparisons,46615.0,5,465.79823958447935
HashTable(100|chaining|fnv1a),7000,comparisons,63354.6,5,850.3556902849537
HashTable(100|chaining|fnv1a),8000,comparisons,80908.6,5,226.23836986682875
HashTable(100|chaining|fnv1a),9000,comparisons,102861.4,5,1164.8883208273658
HashTable(100|chaining|fnv1a),10000,comparisons,127156.8,5,1290.9905886566332
HashTable(100|chaining|poly31),1000,comparisons,1398.0,5,50.05496978322932
HashTable(100|chaining|poly31),2000,comparisons,5306.2,5,155.11673023887525
HashTable(100|chaining|poly31),3000,comparisons,11512.4,5,186.24929530068025
HashTable(100|chaining|poly31),4000,comparisons,20578.6,5,376.87570895455707
HashTable(100|chaining|poly31),5000,comparisons,31598.2,5,281.7085373218213
HashTable(100|chaining|poly31),6000,comparisons,45786.8,5,541.0815095713399
HashTable(100|chaining|poly31),7000,comparisons,61845.2,5,664.2151007015724
HashTable(100|chaining|poly31),8000,comparisons,81311.0,5,1010.8350508366832
HashTable(100|chaining|poly31),9000,comparisons,102237.2,5,1513.1710742675464
HashTable(100|chaining|poly31),10000,comparisons,126564.0,5,1404.2038669651924
HashTable(150|chaining|djb2),1000,comparisons,1022.0,5,28.044607324760317
HashTable(150|chaining|djb2),2000,comparisons,3736.0,5,103.93507588874894
HashTable(150|chaining|djb2),3000,comparisons,8106.2,5,103.04222435487308
HashTable(150|chaining|djb2),4000,comparisons,14027.6,5,297.41267625977207
HashTable(150|chaining|djb2),5000,comparisons,21960.0,5,432.8487033594995
HashTable(150|chaining|djb2),6000,comparisons,31235.2,5,433.5322364023234
HashTable(150|chaining|djb2),7000,comparisons,42492.6,5,480.9374179662048
HashTable(150|chaining|djb2),8000,comparisons,55846.0,5,517.5055555257354
HashTable(150|chaining|djb2),9000,comparisons,69685.2,5,946.0164903425309
HashTable(150|chaining|djb2),10000,comparisons,86492.0,5,661.2163034892591
HashTable(150|chaining|fnv1a),1000,comparisons,1182.0,5,26.851443164195103
HashTable(150|chaining|fnv1a),2000,comparisons,3873.4,5,88.13228693276942
HashTable(150|chaining|fnv1a),3000,comparisons,8086.0,5,262.47095077360467
HashTable(150|chaining|fnv1a),4000,comparisons,14358.8,5,161.37750772644867
HashTable(150|chaining|fnv1a),5000,comparisons,22143.2,5,147.48627054746484
HashTable(150|chaining|fnv1a),6000,comparisons,31639.4,5,346.53109528583434
HashTable(150|chaining|fnv1a),7000,comparisons,42553.4,5,136.3517509971911
HashTable(150|chaining|fnv1a),8000,comparisons,54671.8,5,983.4249844294175
HashTable(150|chaining|fnv1a),9000,comparisons,69105.8,5,654.9638921345206
HashTable(150|chaining|fnv1a),10000,comparisons,86320.8,5,830.187147575774
HashTable(150|chaining|poly31),1000,comparisons,1504.0,5,60.61352984276695
HashTable(150|chaining|poly31),2000,comparisons,5622.0,5,129.51447795516916
HashTable(150|chaining|poly31),3000,comparisons,12677.4,5,273.4818092670882
HashTable(150|chaining|poly31),4000,comparisons,22421.4,5,269.8875691839104
HashTable(150|chaining|poly31),5000,comparisons,33942.2,5,894.2931286776166
HashTable(150|chaining|poly31),6000,comparisons,48171.0,5,415.55565210931735
HashTable(150|chaining|poly31),7000,comparisons,63575.0,5,738.157164836866
HashTable(150|chaining|poly31),8000,comparisons,81562.6,5,892.3554784949773
HashTable(150|chaining|poly31),9000,comparisons,102210.8,5,702.656174810981
HashTable(150|chaining|poly31),10000,comparisons,122557.8,5,1043.5771174187369
HashTable(50|chaining|djb2),1000,comparisons,2628.4,5,55.26119796023246
HashTable(50|chaining|djb2),2000,comparisons,10444.6,5,266.12271605407904
HashTable(50|chaining|djb2),3000,comparisons,22860.6,5,194.82633292242608
HashTable(50|chaining|djb2),4000,comparisons,40722.8,5,621.414274055561
HashTable(50|chaining|djb2),5000,comparisons,63091.2,5,943.0671768225209
HashTable(50|chaining|djb2),6000,comparisons,90851.0,5,1582.9106102367246
HashTable(50|chaining|djb2),7000,comparisons,123178.4,5,1520.453484984003
HashTable(50|chaining|djb2),8000,comparisons,160702.2,5,743.1710435693791
HashTable(50|chaining|djb2),9000,comparisons,203577.8,5,2949.24307238315
HashTable(50|chaining|djb2),10000,comparisons,249966.6,5,3512.532747178309
HashTable(50|chaining|fnv1a),1000,comparisons,2684.2,5,80.1355102311079
HashTable(50|chaining|fnv1a),2000,comparisons,10317.8,5,208.27073726282336
HashTable(50|chaining|fnv1a),3000,comparisons,23126.0,5,267.7340097933021
HashTable(50|chaining|fnv1a),4000,comparisons,40567.8,5,469.6436947303775
HashTable(50|chaining|fnv1a),5000,comparisons,64116.6,5,348.44124325343574
HashTable(50|chaining|fnv1a),6000,comparisons,91351.0,5,728.0848164877495
HashTable(50|chaining|fnv1a),7000,comparisons,124392.8,5,454.8232623778164
HashTable(50|chaining|fnv1a),8000,comparisons,162330.8,5,2395.0165343896897
HashTable(50|chaining|fnv1a),9000,comparisons,204449.2,5,2824.2823336203483
HashTable(50|chaining|fnv1a),10000,comparisons,254678.0,5,2370.060442267243
HashTable(50|chaining|poly31),1000,comparisons,2640.4,5,98.40376009076076
HashTable(50|chaining|poly31),2000,comparisons,10331.2,5,217.65500223978313
HashTable(50|chaining|poly31),3000,comparisons,22823.8,5,334.6986704485096
HashTable(50|chaining|poly31),4000,comparisons,40754.4,5,421.45972524073994
HashTable(50|chaining|poly31),5000,comparisons,63929.0,5,1631.472954112326
HashTable(50|chaining|poly31),6000,comparisons,90099.4,5,688.7425498689623
HashTable(50|chaining|poly31),7000,comparisons,122642.0,5,1721.3655916161447
HashTable(50|chaining|poly31),8000,comparisons,160906.6,5,1928.3011434939306
HashTable(50|chaining|poly31),9000,comparisons,203354.2,5,2337.6917461461853
HashTable(50|chaining|poly31),10000,comparisons,250722.4,5,3230.1340219873227
