ds_name,instances,metric,mean_per_round,rounds,std_per_round,values
AVLTree,1000,comparisons,2299.8,5,14.48102,"[2313.0, 2289.0, 2307.0, 2280.0, 2310.0]"
AVLTree,2000,comparisons,5111.2,5,46.13784,"[5121.0, 5130.0, 5114.0, 5157.0, 5034.0]"
AVLTree,3000,comparisons,8090.8,5,23.78445,"[8059.0, 8074.0, 8112.0, 8096.0, 8113.0]"
AVLTree,4000,comparisons,11187.0,5,54.41967,"[11151.0, 11247.0, 11161.0, 11132.0, 11244.0]"
AVLTree,5000,comparisons,14351.4,5,62.75986,"[14430.0, 14398.0, 14311.0, 14342.0, 14276.0]"
AVLTree,6000,comparisons,17650.6,5,79.2231,"[17561.0, 17567.0, 17714.0, 17701.0, 17710.0]"
AVLTree,7000,comparisons,21021.6,5,32.80701,"[21014.0, 20984.0, 21052.0, 21059.0, 20999.0]"
AVLTree,8000,comparisons,24352.6,5,54.02129,"[24309.0, 24447.0, 24335.0, 24336.0, 24336.0]"
AVLTree,9000,comparisons,27733.0,5,40.39183,"[27692.0, 27729.0, 27745.0, 27704.0, 27795.0]"
AVLTree,10000,comparisons,31225.0,5,34.78505,"[31229.0, 31281.0, 31197.0, 31223.0, 31195.0]"
"ArrayLinkedList(def=-1, sorted)",1000,comparisons,124023.2,5,2121.34526,"[122516.0, 125050.0, 122998.0, 122277.0, 127275.0]"
"ArrayLinkedList(def=-1, sorted)",2000,comparisons,496782.2,5,12928.63373,"[478280.0, 491374.0, 509375.0, 508540.0, 496342.0]"
"ArrayLinkedList(def=-1, sorted)",3000,comparisons,1136594.2,5,22045.31819,"[1150778.0, 1159131.0, 1136450.0, 1101484.0, 1135128.0]"
"ArrayLinkedList(def=-1, sorted)",4000,comparisons,1976697.8,5,38546.19701,"[1991363.0, 1927103.0, 2014348.0, 1944946.0, 2005729.0]"
"ArrayLinkedList(def=-1, sorted)",5000,comparisons,3147565.4,5,41237.53926,"[3184096.0, 3195199.0, 3125637.0, 3136211.0, 3096684.0]"
"ArrayLinkedList(def=-1, sorted)",6000,comparisons,4506121.2,5,58806.46527,"[4555271.0, 4408876.0, 4495646.0, 4543637.0, 4527176.0]"
"ArrayLinkedList(def=-1, sorted)",7000,comparisons,6060197.8,5,50273.92908,"[6028705.0, 6146971.0, 6023627.0, 6044677.0, 6057009.0]"
"ArrayLinkedList(def=-1, sorted)",8000,comparisons,7971803.8,5,92284.69313,"[7933844.0, 7956805.0, 8004500.0, 7857184.0, 8106686.0]"
"ArrayLinkedList(def=-1, sorted)",9000,comparisons,10063837.0,5,74287.54404,"[10055601.0, 9965349.0, 10174297.0, 10054953.0, 10068985.0]"
"ArrayLinkedList(def=-1, sorted)",10000,comparisons,12430180.2,5,216705.73582,"[12553845.0, 12496192.0, 12536720.0, 12044404.0, 12519740.0]"
"ArrayLinkedList(def=-1, unsorted)",1000,comparisons,126497.0,5,4681.897,"[120300.0, 132175.0, 126735.0, 123727.0, 129548.0]"
"ArrayLinkedList(def=-1, unsorted)",2000,comparisons,507986.6,5,6074.36555,"[514396.0, 498100.0, 509108.0, 510703.0, 507626.0]"
"ArrayLinkedList(def=-1, unsorted)",3000,comparisons,1123318.8,5,14884.5526,"[1139873.0, 1113955.0, 1121665.0, 1136463.0, 1104638.0]"
"ArrayLinkedList(def=-1, unsorted)",4000,comparisons,2027514.6,5,37137.96945,"[1996953.0, 2057203.0, 2070487.0, 2028473.0, 1984457.0]"
"ArrayLinkedList(def=-1, unsorted)",5000,comparisons,3144243.4,5,40592.33155,"[3184163.0, 3101957.0, 3105012.0, 3185104.0, 3144981.0]"
"ArrayLinkedList(def=-1, unsorted)",6000,comparisons,4512672.8,5,42107.41029,"[4511425.0, 4440219.0, 4541450.0, 4533757.0, 4536513.0]"
"ArrayLinkedList(def=-1, unsorted)",7000,comparisons,6133327.8,5,102238.02858,"[6098127.0, 6166211.0, 6069295.0, 6295322.0, 6037684.0]"
