ds_name,instances,metric,mean_per_round,rounds,std_per_round,values
AVLTree,1000,mem_moves,97.2,5,6.72309,"[102.0, 92.0, 106.0, 90.0, 96.0]"
AVLTree,2000,mem_moves,187.6,5,11.08152,"[184.0, 182.0, 198.0, 174.0, 200.0]"
AVLTree,3000,mem_moves,284.8,5,13.53514,"[278.0, 282.0, 306.0, 270.0, 288.0]"
AVLTree,4000,mem_moves,380.8,5,26.89238,"[408.0, 396.0, 348.0, 396.0, 356.0]"
AVLTree,5000,mem_moves,482.0,5,17.88854,"[496.0, 468.0, 502.0, 460.0, 484.0]"
AVLTree,6000,mem_moves,574.8,5,7.56307,"[578.0, 562.0, 576.0, 576.0, 582.0]"
AVLTree,7000,mem_moves,658.4,5,20.94755,"[646.0, 632.0, 656.0, 674.0, 684.0]"
AVLTree,8000,mem_moves,754.8,5,22.3875,"[750.0, 766.0, 720.0, 758.0, 780.0]"
AVLTree,9000,mem_moves,859.6,5,16.63731,"[850.0, 886.0, 846.0, 866.0, 850.0]"
AVLTree,10000,mem_moves,925.6,5,35.36665,"[870.0, 920.0, 926.0, 960.0, 952.0]"
"ArrayLinkedList(def=-1, sorted)",1000,mem_moves,2108.0,5,0.0,"[2108.0, 2108.0, 2108.0, 2108.0, 2108.0]"
"ArrayLinkedList(def=-1, sorted)",2000,mem_moves,4211.2,5,0.44721,"[4211.0, 4211.0, 4211.0, 4212.0, 4211.0]"
"ArrayLinkedList(def=-1, sorted)",3000,mem_moves,6314.4,5,0.54772,"[6314.0, 6315.0, 6314.0, 6315.0, 6314.0]"
"ArrayLinkedList(def=-1, sorted)",4000,mem_moves,8406.2,5,0.44721,"[8406.0, 8406.0, 8406.0, 8406.0, 8407.0]"
"ArrayLinkedList(def=-1, sorted)",5000,mem_moves,10513.0,5,0.0,"[10513.0, 10513.0, 10513.0, 10513.0, 10513.0]"
"ArrayLinkedList(def=-1, sorted)",6000,mem_moves,12616.2,5,0.44721,"[12616.0, 12616.0, 12616.0, 12617.0, 12616.0]"
"ArrayLinkedList(def=-1, sorted)",7000,mem_moves,14708.2,5,0.44721,"[14708.0, 14708.0, 14708.0, 14709.0, 14708.0]"
"ArrayLinkedList(def=-1, sorted)",8000,mem_moves,16811.2,5,0.44721,"[16811.0, 16812.0, 16811.0, 16811.0, 16811.0]"
"ArrayLinkedList(def=-1, sorted)",9000,mem_moves,18918.0,5,0.0,"[18918.0, 18918.0, 18918.0, 18918.0, 18918.0]"
"ArrayLinkedList(def=-1, sorted)",10000,mem_moves,21010.4,5,0.54772,"[21011.0, 21010.0, 21010.0, 21010.0, 21011.0]"
"ArrayLinkedList(def=-1, unsorted)",1000,mem_moves,2100.2,5,0.44721,"[2100.0, 2100.0, 2101.0, 2100.0, 2100.0]"
"ArrayLinkedList(def=-1, unsorted)",2000,mem_moves,4200.2,5,0.44721,"[4201.0, 4200.0, 4200.0, 4200.0, 4200.0]"
"ArrayLinkedList(def=-1, unsorted)",3000,mem_moves,6300.0,5,0.0,"[6300.0, 6300.0, 6300.0, 6300.0, 6300.0]"
"ArrayLinkedList(def=-1, unsorted)",4000,mem_moves,8400.0,5,0.0,"[8400.0, 8400.0, 8400.0, 8400.0, 8400.0]"
