ds_name,instances,metric,mean_per_round,rounds,std_per_round,values
AVLTree,1000,node_visits,22986.4,5,18.4201,"[22993.0, 22984.0, 22995.0, 22956.0, 23004.0]"
AVLTree,2000,node_visits,50924.4,5,53.21936,"[50914.0, 50926.0, 50940.0, 50995.0, 50847.0]"
AVLTree,3000,node_visits,80529.6,5,35.13261,"[80488.0, 80542.0, 80580.0, 80507.0, 80531.0]"
AVLTree,4000,node_visits,111491.6,5,60.10241,"[111440.0, 111581.0, 111436.0, 111484.0, 111517.0]"
AVLTree,5000,node_visits,142915.4,5,77.35179,"[143026.0, 142968.0, 142863.0, 142865.0, 142855.0]"
AVLTree,6000,node_visits,175812.6,5,98.34277,"[175745.0, 175680.0, 175870.0, 175845.0, 175923.0]"
AVLTree,7000,node_visits,209082.4,5,65.22116,"[209028.0, 209027.0, 209051.0, 209149.0, 209157.0]"
AVLTree,8000,node_visits,242197.0,5,76.86677,"[242144.0, 242294.0, 242105.0, 242251.0, 242191.0]"
AVLTree,9000,node_visits,276055.6,5,32.16053,"[276039.0, 276066.0, 276063.0, 276012.0, 276098.0]"
AVLTree,10000,node_visits,310994.8,5,85.0394,"[310864.0, 311012.0, 310978.0, 311097.0, 311023.0]"
"ArrayLinkedList(def=-1, sorted)",1000,node_visits,922206.2,5,1753.96713,"[922517.0, 921270.0, 920637.0, 921506.0, 925101.0]"
"ArrayLinkedList(def=-1, sorted)",2000,node_visits,3690506.4,5,14449.66464,"[3666953.0, 3694220.0, 3694048.0, 3706442.0, 3690869.0]"
"ArrayLinkedList(def=-1, sorted)",3000,node_visits,8302929.6,5,33084.26856,"[8332769.0, 8326702.0, 8313241.0, 8251304.0, 8290632.0]"
"ArrayLinkedList(def=-1, sorted)",4000,node_visits,14732691.0,5,31651.29155,"[14729503.0, 14692574.0, 14774316.0, 14715453.0, 14751609.0]"
"ArrayLinkedList(def=-1, sorted)",5000,node_visits,23072262.8,5,64773.53734,"[23147192.0, 23114195.0, 23027348.0, 23085301.0, 22987278.0]"
"ArrayLinkedList(def=-1, sorted)",6000,node_visits,33218198.8,5,60583.47929,"[33265951.0, 33117282.0, 33222558.0, 33265040.0, 33220163.0]"
"ArrayLinkedList(def=-1, sorted)",7000,node_visits,45102539.0,5,33628.54318,"[45091699.0, 45136239.0, 45075680.0, 45068895.0, 45140182.0]"
"ArrayLinkedList(def=-1, sorted)",8000,node_visits,59002487.4,5,86857.18253,"[58934138.0, 58938466.0, 58987140.0, 59004721.0, 59147972.0]"
"ArrayLinkedList(def=-1, sorted)",9000,node_visits,74666801.6,5,60049.75618,"[74647328.0, 74593353.0, 74758530.0, 74656555.0, 74678242.0]"
"ArrayLinkedList(def=-1, sorted)",10000,node_visits,92165378.8,5,218523.02564,"[92311903.0, 92159761.0, 92294343.0, 91789133.0, 92271754.0]"
"ArrayLinkedList(def=-1, unsorted)",1000,node_visits,673270.2,5,5827.23984,"[668890.0, 681688.0, 671596.0, 667606.0, 676571.0]"
"ArrayLinkedList(def=-1, unsorted)",2000,node_visits,2696196.8,5,9007.49109,"[2706209.0, 2682411.0, 2701738.0, 2694318.0, 2696308.0]"
"ArrayLinkedList(def=-1, unsorted)",3000,node_visits,6052072.0,5,18488.88243,"[6067170.0, 6065047.0, 6036795.0, 6063782.0, 6027566.0]"
"ArrayLinkedList(def=-1, unsorted)",4000,node_visits,10782270.8,5,43560.01152,"[10755576.0, 10841899.0, 10808005.0, 10774600.0, 10731274.0]"
"ArrayLinkedList(def=-1, unsorted)",5000,node_visits,16819240.2,5,31800.07478,"[16787555.0, 16816228.0, 16788963.0, 16853210.0, 16850245.0]"
"ArrayLinkedList(def=-1, unsorted)",6000,node_visits,24196466.6,5,51089.89952,"[24129925.0, 24164441.0, 24204348.0, 24221645.0, 24261974.0]"
"ArrayLinkedList(def=-1, unsorted)",7000,node_visits,32967685.6,5,82526.17397,"[32903679.0, 33020553.0, 32884009.0, 33081628.0, 32948559.0]"
"ArrayLinkedList(def=-1, unsorted)",8000,node_visits,43053771.2,5,89853.32241,"[43054635.0, 43066336.0, 42941251.0, 43017978.0, 43188656.0]"
"ArrayLinkedList(def=-1, unsorted)",9000,node_visits,54431130.8,5,84702.50459,"[54539514.0, 54393828.0, 54326269.0, 54492704.0, 54403339.0]"
"ArrayLinkedList(def=-1, unsorted)",10000,node_visits,67227928.8,5,209444.92306,"[67097875.0, 67459544.0, 67061978.0, 67454155.0, 67066092.0]"
HashTable(100|chaining|djb2),1000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|djb2),2000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|djb2),3000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|djb2),4000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|djb2),5000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|djb2),6000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|djb2),7000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|djb2),8000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|djb2),9000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|djb2),10000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|fnv1a),1000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|fnv1a),2000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|fnv1a),3000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|fnv1a),4000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|fnv1a),5000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|fnv1a),6000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|fnv1a),7000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|fnv1a),8000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|fnv1a),9000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|fnv1a),10000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|poly31),1000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|poly31),2000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|poly31),3000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|poly31),4000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|poly31),5000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|poly31),6000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|poly31),7000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|poly31),8000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|poly31),9000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(100|chaining|poly31),10000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(150|chaining|djb2),1000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(150|chaining|djb2),2000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(150|chaining|djb2),3000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(150|chaining|djb2),4000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(150|chaining|djb2),5000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(150|chaining|djb2),6000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(150|chaining|djb2),7000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(150|chaining|djb2),8000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(150|chaining|djb2),9000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(150|chaining|djb2),10000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(150|chaining|fnv1a),1000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(150|chaining|fnv1a),2000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(150|chaining|fnv1a),3000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(150|chaining|fnv1a),4000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HashTable(150|chaining|fnv1a),5000,node_visits,0.0,5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
