ds_name,instances,metric,mean_per_round,rounds,std_per_round,values
AVLTree,1000,proc_time_ms,81.12426,5,0.44949,"[81.00630000000005, 80.46730000000012, 81.13979999999997, 81.31150000000001, 81.6964]"
AVLTree,2000,proc_time_ms,194.6496,5,23.34056,"[178.26490000000004, 193.57859999999977, 187.4137, 234.85509999999942, 179.13569999999967]"
AVLTree,3000,proc_time_ms,276.0094,5,17.59852,"[269.27409999999986, 303.4879999999996, 261.0924000000001, 263.1237, 283.06880000000035]"
AVLTree,4000,proc_time_ms,372.63656,5,23.6399,"[350.2110999999986, 402.2915000000006, 368.34309999999994, 350.79309999999913, 391.5440000000013]"
AVLTree,5000,proc_time_ms,469.72278,5,13.78679,"[460.99320000000034, 491.89559999999904, 470.5204000000019, 469.32639999999844, 455.87830000000065]"
AVLTree,6000,proc_time_ms,563.26864,5,10.50326,"[552.3083000000003, 563.3562999999988, 555.1365000000003, 566.6713000000002, 578.8708000000005]"
AVLTree,7000,proc_time_ms,660.66766,5,41.64655,"[632.8741999999974, 632.5500999999934, 625.8961999999968, 711.2030000000007, 700.8148000000007]"
AVLTree,8000,proc_time_ms,723.9742,5,25.00759,"[724.9771999999967, 711.0047000000015, 713.0106999999981, 766.6579000000005, 704.2204999999974]"
AVLTree,9000,proc_time_ms,804.24922,5,9.25293,"[806.7417000000024, 795.9771999999986, 796.4397000000015, 803.4770999999962, 818.6103999999976]"
AVLTree,10000,proc_time_ms,908.4097,5,4.64053,"[908.9215999999935, 907.9891000000001, 904.4719999999976, 904.7295000000023, 915.9362999999987]"
"ArrayLinkedList(def=-1, sorted)",1000,proc_time_ms,507.19696,5,7.00969,"[502.12890000000016, 508.69190000000003, 499.1500999999997, 517.2707000000004, 508.7432]"
"ArrayLinkedList(def=-1, sorted)",2000,proc_time_ms,2051.80564,5,7.56916,"[2042.9016000000001, 2047.4591999999993, 2049.5876999999955, 2057.7454000000007, 2061.334299999998]"
"ArrayLinkedList(def=-1, sorted)",3000,proc_time_ms,4681.66202,5,31.34534,"[4689.364500000002, 4718.586000000009, 4691.162499999995, 4632.777799999993, 4676.419299999994]"
"ArrayLinkedList(def=-1, sorted)",4000,proc_time_ms,8371.30782,5,21.37984,"[8349.783299999988, 8373.956500000013, 8379.302299999998, 8351.89939999999, 8401.59760000003]"
"ArrayLinkedList(def=-1, sorted)",5000,proc_time_ms,13203.75,5,75.3038,"[13304.568800000026, 13261.657500000007, 13149.034500000002, 13171.2642, 13132.224999999999]"
"ArrayLinkedList(def=-1, sorted)",6000,proc_time_ms,19110.83632,5,112.63377,"[19273.31159999996, 18999.23890000001, 19042.682099999965, 19179.052299999978, 19059.89669999994]"
"ArrayLinkedList(def=-1, sorted)",7000,proc_time_ms,26067.36278,5,130.07118,"[26166.08890000005, 26167.395999999953, 25992.791199999938, 26136.89020000001, 25873.647600000066]"
"ArrayLinkedList(def=-1, sorted)",8000,proc_time_ms,34250.65134,5,87.8914,"[34153.79879999998, 34339.705599999856, 34178.12180000004, 34341.3212000002, 34240.309300000044]"
"ArrayLinkedList(def=-1, sorted)",9000,proc_time_ms,43417.06238,5,165.15391,"[43523.95379999977, 43516.024600000106, 43569.94249999994, 43228.56679999996, 43246.82419999978]"
"ArrayLinkedList(def=-1, sorted)",10000,proc_time_ms,54167.73258,5,304.37202,"[54289.53820000016, 54416.23829999991, 53896.0407000002, 53790.323600000265, 54446.522099999915]"
"ArrayLinkedList(def=-1, unsorted)",1000,proc_time_ms,365.1937,5,3.14026,"[365.7794999999998, 368.3269000000003, 363.1141000000002, 360.93770000000046, 367.8102999999999]"
"ArrayLinkedList(def=-1, unsorted)",2000,proc_time_ms,1498.75192,5,24.37637,"[1508.963700000004, 1475.840799999999, 1488.4246, 1484.0368000000017, 1536.4936999999952]"
"ArrayLinkedList(def=-1, unsorted)",3000,proc_time_ms,3520.42446,5,73.92753,"[3632.2475999999956, 3541.387399999993, 3431.204399999994, 3500.646399999991, 3496.6365000000005]"
"ArrayLinkedList(def=-1, unsorted)",4000,proc_time_ms,6312.52976,5,288.75621,"[6648.584500000002, 6506.617799999987, 6379.713999999991, 6012.430300000003, 6015.3022000000055]"
"ArrayLinkedList(def=-1, unsorted)",5000,proc_time_ms,9520.1498,5,126.09688,"[9406.230699999993, 9736.997000000001, 9490.670900000026, 9479.24019999998, 9487.61019999999]"
"ArrayLinkedList(def=-1, unsorted)",6000,proc_time_ms,13683.50726,5,29.87316,"[13683.687999999993, 13648.4609, 13694.151400000013, 13664.515700000009, 13726.720299999995]"
"ArrayLinkedList(def=-1, unsorted)",7000,proc_time_ms,18586.06954,5,58.75624,"[18586.825800000035, 18622.23970000001, 18500.27730000005, 18654.92139999997, 18566.08349999998]"
"ArrayLinkedList(def=-1, unsorted)",8000,proc_time_ms,24319.7604,5,56.66751,"[24273.42719999994, 24381.052100000008, 24315.296100000072, 24255.91980000002, 24373.10680000015]"
"ArrayLinkedList(def=-1, unsorted)",9000,proc_time_ms,30801.09968,5,81.34657,"[30935.761700000097, 30775.000700000044, 30804.566999999977, 30718.94429999985, 30771.22469999994]"
"ArrayLinkedList(def=-1, unsorted)",10000,proc_time_ms,38209.28258,5,174.50451,"[38078.97369999991, 38336.42840000008, 38319.606900000144, 38343.781199999794, 37967.62269999992]"
HashTable(100|chaining|djb2),1000,proc_time_ms,69.71148,5,1.03757,"[70.17079999999986, 69.6948999999999, 68.37760000000007, 69.17759999999994, 71.13650000000005]"
HashTable(100|chaining|djb2),2000,proc_time_ms,145.70418,5,3.68018,"[144.81939999999997, 150.5150999999996, 147.92119999999994, 140.83499999999984, 144.43020000000035]"
HashTable(100|chaining|djb2),3000,proc_time_ms,217.394,5,7.11009,"[215.29749999999902, 229.9683999999997, 214.7851999999991, 214.44319999999945, 212.4756999999987]"
HashTable(100|chaining|djb2),4000,proc_time_ms,288.10776,5,2.13523,"[286.1981999999993, 288.00110000000006, 290.3349999999995, 285.8117999999996, 290.1927000000005]"
HashTable(100|chaining|djb2),5000,proc_time_ms,364.85474,5,3.98418,"[371.14919999999967, 364.3713999999993, 364.7337999999991, 363.9379999999993, 360.0812999999993]"
HashTable(100|chaining|djb2),6000,proc_time_ms,446.5786,5,3.85266,"[441.1381000000004, 446.7523000000006, 451.0618999999997, 444.80979999999914, 449.1309000000013]"
HashTable(100|chaining|djb2),7000,proc_time_ms,533.95734,5,12.44112,"[527.3501999999997, 548.2416999999991, 546.7114999999995, 523.6021000000019, 523.8812000000013]"
HashTable(100|chaining|djb2),8000,proc_time_ms,622.76754,5,18.68402,"[608.6050999999994, 610.3296000000047, 640.8270000000015, 608.6196000000037, 645.4564000000005]"
HashTable(100|chaining|djb2),9000,proc_time_ms,702.52488,5,10.20863,"[719.8676000000031, 702.1682999999981, 693.5439999999992, 699.8007000000009, 697.2437999999994]"
HashTable(100|chaining|djb2),10000,proc_time_ms,804.8375,5,20.1105,"[820.5388000000034, 830.1838999999981, 799.4938999999983, 792.5895999999997, 781.3813000000011]"
HashTable(100|chaining|fnv1a),1000,proc_time_ms,68.95356,5,0.963,"[68.33449999999996, 68.64389999999996, 70.66009999999991, 68.65289999999996, 68.4763999999999]"
HashTable(100|chaining|fnv1a),2000,proc_time_ms,136.03616,5,2.57239,"[139.08410000000046, 135.64910000000012, 132.23030000000003, 137.58050000000014, 135.63680000000008]"
HashTable(100|chaining|fnv1a),3000,proc_time_ms,209.23334,5,2.20844,"[213.07429999999934, 207.5824000000002, 208.3132000000002, 209.03269999999972, 208.16409999999982]"
HashTable(100|chaining|fnv1a),4000,proc_time_ms,282.37256,5,2.779,"[284.89409999999936, 283.40789999999873, 278.05039999999923, 284.25309999999973, 281.25730000000016]"
HashTable(100|chaining|fnv1a),5000,proc_time_ms,359.98488,5,3.63256,"[354.3609000000004, 359.58389999999906, 359.6466999999997, 363.7289999999995, 362.60389999999956]"
HashTable(100|chaining|fnv1a),6000,proc_time_ms,453.6126,5,17.16479,"[438.11180000000144, 449.7616999999999, 476.3910000000011, 437.7803000000001, 466.01819999999833]"
HashTable(100|chaining|fnv1a),7000,proc_time_ms,524.6363,5,4.06125,"[521.2212999999978, 524.272500000002, 530.9996999999995, 525.6185999999996, 521.0694000000009]"
HashTable(100|chaining|fnv1a),8000,proc_time_ms,604.12074,5,2.35839,"[601.1334000000018, 607.6965999999984, 604.1384000000015, 603.397499999999, 604.2378000000017]"
HashTable(100|chaining|fnv1a),9000,proc_time_ms,692.92126,5,3.27051,"[695.1274000000026, 690.2672000000024, 694.3269000000016, 688.6715000000032, 696.2133000000009]"
HashTable(100|chaining|fnv1a),10000,proc_time_ms,809.93924,5,47.14987,"[785.5983000000001, 886.1123999999999, 825.3410000000003, 776.6324999999982, 776.0119999999982]"
HashTable(100|chaining|poly31),1000,proc_time_ms,72.18958,5,0.59303,"[72.63749999999997, 72.50809999999998, 72.49859999999994, 71.18769999999998, 72.11600000000003]"
HashTable(100|chaining|poly31),2000,proc_time_ms,142.97502,5,1.8222,"[145.82719999999986, 141.16240000000013, 143.62849999999975, 142.1074999999998, 142.14950000000005]"
HashTable(100|chaining|poly31),3000,proc_time_ms,218.28258,5,2.76185,"[217.35799999999992, 219.94379999999958, 217.45810000000031, 214.70619999999923, 221.94679999999974]"
HashTable(100|chaining|poly31),4000,proc_time_ms,293.33738,5,2.70535,"[290.7765999999991, 292.4213999999998, 295.6691000000001, 296.71939999999915, 291.10040000000083]"
HashTable(100|chaining|poly31),5000,proc_time_ms,374.13126,5,3.40437,"[376.8734000000026, 370.54910000000046, 373.55349999999896, 378.35220000000004, 371.32810000000075]"
HashTable(100|chaining|poly31),6000,proc_time_ms,460.19312,5,4.15654,"[456.0769000000018, 460.3528000000005, 456.04190000000193, 463.23750000000115, 465.2565000000032]"
HashTable(100|chaining|poly31),7000,proc_time_ms,537.01828,5,9.50016,"[550.8470000000011, 537.9104999999995, 539.9522000000003, 529.6954000000012, 526.6863000000004]"
HashTable(100|chaining|poly31),8000,proc_time_ms,622.5034,5,7.43391,"[622.6178000000014, 616.1583000000012, 618.8664000000005, 635.1465000000042, 619.727999999997]"
HashTable(100|chaining|poly31),9000,proc_time_ms,712.01234,5,3.45381,"[716.0532999999996, 711.4465000000032, 706.7130999999999, 712.1120000000062, 713.7368000000021]"
HashTable(100|chaining|poly31),10000,proc_time_ms,796.93436,5,4.81732,"[798.501399999999, 802.9544999999998, 789.7841000000035, 797.9214999999996, 795.5103000000039]"
HashTable(150|chaining|djb2),1000,proc_time_ms,68.8111,5,0.69194,"[68.63629999999985, 69.87039999999986, 68.96889999999992, 68.60169999999997, 67.9781999999998]"
HashTable(150|chaining|djb2),2000,proc_time_ms,139.01884,5,4.80947,"[135.597, 137.25799999999998, 136.92200000000017, 137.82010000000002, 147.4970999999998]"
HashTable(150|chaining|djb2),3000,proc_time_ms,216.92922,5,8.33621,"[222.97739999999965, 228.15889999999928, 214.40299999999996, 209.3342999999997, 209.77249999999995]"
HashTable(150|chaining|djb2),4000,proc_time_ms,283.93454,5,3.26994,"[287.73320000000075, 281.8726999999997, 280.03719999999964, 283.202899999999, 286.8267000000003]"
HashTable(150|chaining|djb2),5000,proc_time_ms,399.3053,5,44.13802,"[357.81140000000016, 361.2553000000001, 385.2040000000002, 450.57509999999996, 441.6807000000005]"
HashTable(150|chaining|djb2),6000,proc_time_ms,439.2509,5,6.71588,"[437.96900000000056, 448.3941999999997, 440.8449000000007, 439.41839999999974, 429.6279999999996]"
HashTable(150|chaining|djb2),7000,proc_time_ms,509.81854,5,4.1506,"[508.3395999999997, 507.1540000000016, 517.1753999999975, 508.62210000000044, 507.80159999999904]"
HashTable(150|chaining|djb2),8000,proc_time_ms,605.41242,5,37.43843,"[581.558799999999, 590.9723000000012, 597.1135000000005, 585.8442999999975, 671.5731999999971]"
HashTable(150|chaining|djb2),9000,proc_time_ms,678.86102,5,12.83902,"[701.0819000000045, 678.5607999999978, 672.7871000000026, 669.7024000000005, 672.1729000000024]"
HashTable(150|chaining|djb2),10000,proc_time_ms,1413.10154,5,1467.56774,"[4038.335499999976, 756.6482999999937, 751.7555000000029, 768.4619000000014, 750.3065000000025]"
HashTable(150|chaining|fnv1a),1000,proc_time_ms,67.57292,5,0.84426,"[67.01119999999992, 66.61319999999992, 68.51559999999995, 67.33389999999986, 68.39070000000008]"
HashTable(150|chaining|fnv1a),2000,proc_time_ms,138.6988,5,3.83365,"[142.94999999999956, 137.77040000000005, 133.70969999999994, 142.1371000000002, 136.92679999999993]"
HashTable(150|chaining|fnv1a),3000,proc_time_ms,204.55248,5,1.12818,"[204.72560000000036, 205.84849999999983, 203.22170000000028, 203.58860000000033, 205.37800000000007]"
HashTable(150|chaining|fnv1a),4000,proc_time_ms,277.67066,5,1.95873,"[275.77260000000035, 280.0720000000008, 276.28780000000006, 279.4666000000012, 276.75430000000085]"
HashTable(150|chaining|fnv1a),5000,proc_time_ms,354.5513,5,2.88519,"[353.27150000000086, 352.23629999999923, 352.2253999999992, 358.80839999999887, 356.2148999999976]"
HashTable(150|chaining|fnv1a),6000,proc_time_ms,431.2447,5,8.09834,"[424.7893999999991, 427.2946999999999, 424.1113000000003, 439.58359999999936, 440.4445000000003]"
HashTable(150|chaining|fnv1a),7000,proc_time_ms,515.69574,5,17.60387,"[512.2531000000016, 546.6600000000002, 504.1411, 505.7165999999996, 509.70789999999903]"
HashTable(150|chaining|fnv1a),8000,proc_time_ms,592.73738,5,5.59894,"[600.1994000000002, 587.7305000000001, 596.1132999999987, 586.9719000000007, 592.6718000000008]"
HashTable(150|chaining|fnv1a),9000,proc_time_ms,671.46176,5,4.42034,"[668.4540000000003, 671.8486000000007, 676.4379000000005, 665.7330000000022, 674.8352999999987]"
HashTable(150|chaining|fnv1a),10000,proc_time_ms,760.83158,5,3.95876,"[764.3998999999978, 759.2794000000056, 754.6357999999972, 762.4617000000007, 763.3811000000022]"
HashTable(150|chaining|poly31),1000,proc_time_ms,70.46184,5,2.23045,"[67.78280000000001, 68.61530000000006, 72.4620999999999, 70.69419999999997, 72.75479999999999]"
