ds_name,instances,metric,mean_per_round,rounds,std_per_round,values
AVLTree,1000,wall_time_ms,82.39618,5,0.48179,"[82.20577400000005, 81.75749899999987, 82.33628399999995, 82.63377900000015, 83.04754599999998]"
AVLTree,2000,wall_time_ms,197.48798,5,23.43787,"[180.99467900000036, 196.62621400000035, 190.31315500000017, 237.79064700000015, 181.7151799999997]"
AVLTree,3000,wall_time_ms,279.81454,5,17.94127,"[273.1025640000002, 307.9655100000006, 264.64048800000035, 266.6782710000002, 286.6858729999996]"
AVLTree,4000,wall_time_ms,377.69321,5,24.01609,"[354.94485499999917, 407.83581300000026, 373.27191600000015, 355.5057649999999, 396.90769700000027]"
AVLTree,5000,wall_time_ms,475.90655,5,14.02818,"[466.89629599999824, 498.6037529999992, 476.3910159999999, 475.5350779999989, 462.106585]"
AVLTree,6000,wall_time_ms,570.78918,5,10.75525,"[559.6917319999998, 570.8313139999977, 562.6083200000022, 573.7889289999969, 587.0256089999997]"
AVLTree,7000,wall_time_ms,670.60594,5,43.93513,"[641.125661000002, 640.9537830000013, 634.4259830000004, 726.0606160000035, 710.4636340000034]"
AVLTree,8000,wall_time_ms,733.74093,5,24.98276,"[734.663994000002, 720.3513759999995, 724.0462300000028, 776.2609589999948, 713.3821069999991]"
AVLTree,9000,wall_time_ms,815.26762,5,9.53179,"[818.9842380000005, 806.8433009999989, 806.805729999998, 814.096307999998, 829.6085420000014]"
AVLTree,10000,wall_time_ms,920.65076,5,4.44473,"[920.854356999994, 920.0172070000016, 918.098979000005, 916.3268639999953, 927.956370000003]"
"ArrayLinkedList(def=-1, sorted)",1000,wall_time_ms,508.62713,5,7.07675,"[503.49000099999944, 510.0806149999999, 500.5914059999999, 518.8785179999999, 510.0951280000001]"
"ArrayLinkedList(def=-1, sorted)",2000,wall_time_ms,2054.76103,5,7.61312,"[2045.7788149999974, 2050.435804000002, 2052.520253000001, 2060.7246670000013, 2064.3456349999965]"
"ArrayLinkedList(def=-1, sorted)",3000,wall_time_ms,4686.57023,5,31.32186,"[4694.1221969999915, 4723.691981999988, 4695.963980000008, 4637.865178000015, 4681.207810000017]"
"ArrayLinkedList(def=-1, sorted)",4000,wall_time_ms,8378.51469,5,21.53316,"[8356.611490000025, 8382.567993000011, 8386.00373399999, 8358.707438000003, 8408.682811999983]"
"ArrayLinkedList(def=-1, sorted)",5000,wall_time_ms,13213.20256,5,75.32124,"[13313.99448699999, 13271.24341400003, 13158.525093000037, 13180.510673000035, 13141.739136999951]"
"ArrayLinkedList(def=-1, sorted)",6000,wall_time_ms,19123.16319,5,112.83523,"[19285.875074999887, 19011.316566999965, 19054.896441999983, 19191.573949999904, 19072.15389700001]"
"ArrayLinkedList(def=-1, sorted)",7000,wall_time_ms,26082.89347,5,130.27856,"[26181.950629999985, 26183.211261000088, 26007.526821999912, 26152.50403900014, 25889.27460600002]"
"ArrayLinkedList(def=-1, sorted)",8000,wall_time_ms,34269.36973,5,88.08686,"[34172.25871899986, 34358.507071999826, 34196.887115000056, 34360.44486099986, 34258.750885999994]"
"ArrayLinkedList(def=-1, sorted)",9000,wall_time_ms,43439.10475,5,165.38807,"[43545.85865199982, 43538.69246600025, 43592.03501399996, 43250.16997499989, 43268.76762800015]"
"ArrayLinkedList(def=-1, sorted)",10000,wall_time_ms,54193.90799,5,304.55241,"[54315.58141999998, 54442.93973399986, 53921.67384599978, 53816.62692799996, 54472.718012000085]"
"ArrayLinkedList(def=-1, unsorted)",1000,wall_time_ms,366.56203,5,3.16036,"[367.1272930000004, 369.6364199999998, 364.523944, 362.243887, 369.278622]"
"ArrayLinkedList(def=-1, unsorted)",2000,wall_time_ms,1501.77873,5,24.47503,"[1512.2495770000007, 1478.7023610000003, 1491.354902, 1487.0244150000042, 1539.5623969999986]"
"ArrayLinkedList(def=-1, unsorted)",3000,wall_time_ms,3525.36344,5,74.14597,"[3637.4756700000103, 3546.423029999991, 3435.8198830000024, 3505.5592609999885, 3501.53938]"
"ArrayLinkedList(def=-1, unsorted)",4000,wall_time_ms,6319.92526,5,289.40874,"[6656.639591999996, 6514.555686999996, 6387.293163999998, 6018.942370000009, 6022.195511999986]"
"ArrayLinkedList(def=-1, unsorted)",5000,wall_time_ms,9529.49834,5,126.57024,"[9415.246185999953, 9747.18217200003, 9500.084000000013, 9488.258385999981, 9496.720947000013]"
"ArrayLinkedList(def=-1, unsorted)",6000,wall_time_ms,13695.45855,5,29.72381,"[13695.868411999987, 13660.597131000042, 13706.150458000035, 13676.338722000031, 13738.33801499998]"
"ArrayLinkedList(def=-1, unsorted)",7000,wall_time_ms,18600.8732,5,58.8496,"[18601.83832999997, 18637.244026999928, 18514.920697999907, 18669.677078000033, 18580.685862000024]"
"ArrayLinkedList(def=-1, unsorted)",8000,wall_time_ms,24337.88991,5,56.84433,"[24291.203501999993, 24399.696401000063, 24334.570424000085, 24273.488335000056, 24390.490903000038]"
"ArrayLinkedList(def=-1, unsorted)",9000,wall_time_ms,30822.38266,5,81.59997,"[30957.549870000155, 30796.282923000013, 30825.315280999996, 30739.903934000067, 30792.861312999834]"
"ArrayLinkedList(def=-1, unsorted)",10000,wall_time_ms,38233.91557,5,174.1116,"[38104.261999000104, 38360.671945999966, 38343.96356899991, 38368.13120800002, 37992.549115999966]"
HashTable(100|chaining|djb2),1000,wall_time_ms,70.87572,5,1.08982,"[71.29549499999999, 70.87621600000006, 69.49348499999992, 70.30757999999977, 72.40583100000003]"
