ds_name,instances,metric,mean_per_round,rounds,std_per_round
AVLTree,1000,comparisons,2299.8,5,14.481022063376603
AVLTree,2000,comparisons,5111.2,5,46.13783696707075
AVLTree,3000,comparisons,8090.8,5,23.784448700779254
AVLTree,4000,comparisons,11187.0,5,54.419665563103194
AVLTree,5000,comparisons,14351.4,5,62.75985978314483
AVLTree,6000,comparisons,17650.6,5,79.22310269107112
AVLTree,7000,comparisons,21021.6,5,32.80701144572605
AVLTree,8000,comparisons,24352.6,5,54.02129209857906
AVLTree,9000,comparisons,27733.0,5,40.391830857241416
AVLTree,10000,comparisons,31225.0,5,34.785054261852174
"ArrayLinkedList(def=-1, sorted)",1000,comparisons,124189.4,5,3867.3376242578047
"ArrayLinkedList(def=-1, sorted)",2000,comparisons,501156.0,5,6012.548419763453
"ArrayLinkedList(def=-1, sorted)",3000,comparisons,1119659.4,5,22448.995830548858
"ArrayLinkedList(def=-1, sorted)",4000,comparisons,1982543.8,5,50933.48577507728
"ArrayLinkedList(def=-1, sorted)",5000,comparisons,3092862.6,5,30988.70873076192
"ArrayLinkedList(def=-1, sorted)",6000,comparisons,4457893.0,5,48371.30340398117
"ArrayLinkedList(def=-1, sorted)",7000,comparisons,6142259.4,5,81013.71479447167
"ArrayLinkedList(def=-1, sorted)",8000,comparisons,8001971.8,5,81948.7885950732
"ArrayLinkedList(def=-1, sorted)",9000,comparisons,10094397.8,5,62323.48299958852
"ArrayLinkedList(def=-1, sorted)",10000,comparisons,12533506.2,5,171956.07549952983
"ArrayLinkedList(def=-1, unsorted)",1000,comparisons,125053.2,5,2620.8876740524383
"ArrayLinkedList(def=-1, unsorted)",2000,comparisons,509573.6,5,11319.483724976153
"ArrayLinkedList(def=-1, unsorted)",3000,comparisons,1121985.6,5,7629.948053558424
"ArrayLinkedList(def=-1, unsorted)",4000,comparisons,2008375.0,5,32603.945252070338
"ArrayLinkedList(def=-1, unsorted)",5000,comparisons,3125042.2,5,45350.87949202309
"ArrayLinkedList(def=-1, unsorted)",6000,comparisons,4497459.6,5,76053.9322901847
"ArrayLinkedList(def=-1, unsorted)",7000,comparisons,6111279.6,5,76124.0628599131
"ArrayLinkedList(def=-1, unsorted)",8000,comparisons,7982713.4,5,34420.49759663564
"ArrayLinkedList(def=-1, unsorted)",9000,comparisons,10124925.8,5,146689.93298689584
"ArrayLinkedList(def=-1, unsorted)",10000,comparisons,12436931.8,5,179187.5885397758
HashTable(100|chaining|linear|poly31),1000,comparisons,1413.6,5,28.386616564853234
HashTable(100|chaining|linear|poly31),2000,comparisons,5320.8,5,47.10838566539932
HashTable(100|chaining|linear|poly31),3000,comparisons,11602.6,5,240.07977840709535
HashTable(100|chaining|linear|poly31),4000,comparisons,20454.2,5,244.01782721760307
HashTable(100|chaining|linear|poly31),5000,comparisons,32146.6,5,238.96924488310208
HashTable(100|chaining|linear|poly31),6000,comparisons,45998.4,5,421.9671788184479
HashTable(100|chaining|linear|poly31),7000,comparisons,62533.4,5,720.0807593596707
HashTable(100|chaining|linear|poly31),8000,comparisons,80110.4,5,191.8223136134063
HashTable(100|chaining|linear|poly31),9000,comparisons,102127.4,5,1197.4250707246779
HashTable(100|chaining|linear|poly31),10000,comparisons,126108.4,5,998.8980428452145
HashTable(100|chaining|quadratic|poly31),1000,comparisons,1398.0,5,50.05496978322932
HashTable(100|chaining|quadratic|poly31),2000,comparisons,5306.2,5,155.11673023887525
HashTable(100|chaining|quadratic|poly31),3000,comparisons,11512.4,5,186.24929530068025
HashTable(100|chaining|quadratic|poly31),4000,comparisons,20578.6,5,376.87570895455707
HashTable(100|chaining|quadratic|poly31),5000,comparisons,31598.2,5,281.7085373218213
HashTable(100|chaining|quadratic|poly31),6000,comparisons,45786.8,5,541.0815095713399
HashTable(100|chaining|quadratic|poly31),7000,comparisons,61845.2,5,664.2151007015724
HashTable(100|chaining|quadratic|poly31),8000,comparisons,81311.0,5,1010.8350508366832
HashTable(100|chaining|quadratic|poly31),9000,comparisons,102237.2,5,1513.1710742675464
HashTable(100|chaining|quadratic|poly31),10000,comparisons,126564.0,5,1404.2038669651924
HashTable(150|chaining|linear|poly31),1000,comparisons,1538.4,5,58.73074152434992
HashTable(150|chaining|linear|poly31),2000,comparisons,5717.2,5,126.3752349157065
HashTable(150|chaining|linear|poly31),3000,comparisons,12660.0,5,422.50029585788457
HashTable(150|chaining|linear|poly31),4000,comparisons,22301.2,5,272.8831251653352
HashTable(150|chaining|linear|poly31),5000,comparisons,34343.6,5,281.42370191581233
HashTable(150|chaining|linear|poly31),6000,comparisons,48469.6,5,536.4254841075319
HashTable(150|chaining|linear|poly31),7000,comparisons,64043.2,5,562.5741728874513
HashTable(150|chaining|linear|poly31),8000,comparisons,81607.2,5,542.0707518396468
HashTable(150|chaining|linear|poly31),9000,comparisons,100220.8,5,1846.5152856123343
HashTable(150|chaining|linear|poly31),10000,comparisons,121450.8,5,735.4462590835581
HashTable(150|chaining|quadratic|poly31),1000,comparisons,1504.0,5,60.61352984276695
HashTable(150|chaining|quadratic|poly31),2000,comparisons,5622.0,5,129.51447795516916
HashTable(150|chaining|quadratic|poly31),3000,comparisons,12677.4,5,273.4818092670882
HashTable(150|chaining|quadratic|poly31),4000,comparisons,22421.4,5,269.8875691839104
HashTable(150|chaining|quadratic|poly31),5000,comparisons,33942.2,5,894.2931286776166
HashTable(150|chaining|quadratic|poly31),6000,comparisons,48171.0,5,415.55565210931735
HashTable(150|chaining|quadratic|poly31),7000,comparisons,63575.0,5,738.157164836866
HashTable(150|chaining|quadratic|poly31),8000,comparisons,81562.6,5,892.3554784949773
HashTable(150|chaining|quadratic|poly31),9000,comparisons,102210.8,5,702.656174810981
HashTable(150|chaining|quadratic|poly31),10000,comparisons,122557.8,5,1043.5771174187369
HashTable(50|chaining|linear|poly31),1000,comparisons,2608.6,5,63.4452519894121
HashTable(50|chaining|linear|poly31),2000,comparisons,10223.2,5,161.2597283887084
HashTable(50|chaining|linear|poly31),3000,comparisons,22942.4,5,297.7352851107843
HashTable(50|chaining|linear|poly31),4000,comparisons,40214.8,5,405.7717338603072
HashTable(50|chaining|linear|poly31),5000,comparisons,63675.4,5,465.8189562480256
HashTable(50|chaining|linear|poly31),6000,comparisons,90671.4,5,795.1743833902096
HashTable(50|chaining|linear|poly31),7000,comparisons,123621.8,5,435.54873435701774
HashTable(50|chaining|linear|poly31),8000,comparisons,161376.2,5,2098.1478022293854
HashTable(50|chaining|linear|poly31),9000,comparisons,203411.8,5,2792.1698909629404
HashTable(50|chaining|linear|poly31),10000,comparisons,253137.2,5,2276.4112545847242
HashTable(50|chaining|quadratic|poly31),1000,comparisons,2640.4,5,98.40376009076076
HashTable(50|chaining|quadratic|poly31),2000,comparisons,10331.2,5,217.65500223978313
HashTable(50|chaining|quadratic|poly31),3000,comparisons,22823.8,5,334.6986704485096
HashTable(50|chaining|quadratic|poly31),4000,comparisons,40754.4,5,421.45972524073994
HashTable(50|chaining|quadratic|poly31),5000,comparisons,63929.0,5,1631.472954112326
HashTable(50|chaining|quadratic|poly31),6000,comparisons,90099.4,5,688.7425498689623
HashTable(50|chaining|quadratic|poly31),7000,comparisons,122642.0,5,1721.3655916161447
HashTable(50|chaining|quadratic|poly31),8000,comparisons,160906.6,5,1928.3011434939306
HashTable(50|chaining|quadratic|poly31),9000,comparisons,203354.2,5,2337.6917461461853
HashTable(50|chaining|quadratic|poly31),10000,comparisons,250722.4,5,3230.1340219873227
